ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,Referenced IDV Agency Identifier,,"Identifier used to link agency in FPDS-NG to referenced IDV information. Definition (if more than one field): The identifier of the procurement award under which the specific award is issued, such as a Federal Supply Schedule. This data element currently applies to procurement actions only.",93,43,,,"Identifier used to link agency in FPDS-NG to referenced IDV information. Definition (if more than one field): The identifier of the procurement award under which the specific award is issued, such as a Federal Supply Schedule. This data element currently applies to procurement actions only.",Referenced IDV Agency Identifier,1H,,,,,Extracted,,,,,C12,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Information Technology Commercial Item Category,,A code that designates the commercial availability of an information technology product or service.,94,74,,,A code that designates the commercial availability of an information technology product or service.,Information Technology Commercial Item Category,8H,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Interagency Contracting Authority,,Indicates whether the transaction is an Economy Act or Statutory Authority,95,75,,,Indicates whether the transaction is an Economy Act or Statutory Authority,Interagency Contracting Authority,7E,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,1862 Land grant College,,https://www.sam.gov,96,136,,,https://www.sam.gov,1862 Land grant College,13RA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,1890 land grant College,,https://www.sam.gov,97,137,,,https://www.sam.gov,1890 land grant College,13RB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,1994 Land Grant College,,https://www.sam.gov,98,138,,,https://www.sam.gov,1994 Land Grant College,13RC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Airport Authority,,https://www.sam.gov,99,166,,,https://www.sam.gov,Airport Authority,13XC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Alaskan Native Owned Corporation or Firm,,https://www.sam.gov,100,177,,,https://www.sam.gov,Alaskan Native Owned Corporation or Firm,13YA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,City Local Government,,https://www.sam.gov,102,105,,,https://www.sam.gov,City Local Government,13IA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Community Developed Corporation Owned Firm,,https://www.sam.gov,103,118,,,https://www.sam.gov,Community Developed Corporation Owned Firm,13LB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Community Development Corporation,,https://www.sam.gov,104,147,,,https://www.sam.gov,Community Development Corporation,13TB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Corporate Entity Not Tax Exempt,,https://www.sam.gov,106,120,,,https://www.sam.gov,"Corporate Entity, Not Tax Exempt",13LD,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Corporate Entity tax Exempt,,https://www.sam.gov,107,121,,,https://www.sam.gov,"Corporate Entity, tax Exempt",13LE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Council of Governments,,https://www.sam.gov,108,167,,,https://www.sam.gov,Council of Governments,13XD,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,County Local Government,,https://www.sam.gov,109,106,,,https://www.sam.gov,County Local Government,13IB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Domestic Shelter,,https://www.sam.gov,110,149,,,https://www.sam.gov,Domestic Shelter,13TD,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,DoT Certified Disadvantaged Business Enterprise,,https://www.sam.gov,111,130,,,https://www.sam.gov,DoT Certified Disadvantaged Business Enterprise,13NB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Women Owned Small Business,,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is a Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.",112,157,,,"https://www.sam.gov OR List characteristic of the contractor such as whether the
selected contractor is a Woman Owned Small Business or not. It can be derived
from the SAM data element, 'Business Types'.",Women Owned Small Business,13UB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Federal Agency,,https://www.sam.gov,113,114,,,https://www.sam.gov,Federal Agency,13KA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Federally Funded Research and Development Corp,,https://www.sam.gov,114,115,,,https://www.sam.gov,Federally Funded Research and Development Corp,13KB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Foreign Government,,https://www.sam.gov,115,117,,,https://www.sam.gov,Foreign Government,13LA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Foreign Owned and Located,,https://www.sam.gov,116,175,,,https://www.sam.gov,Foreign Owned and Located,13XL,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,For Profit Organization,,"List characteristic of the contractor such as whether the selected contractor is a Profit Organization or not. It can be derived from the SAM data element, 'Business Types'.",117,187,,,"List characteristic of the contractor such as whether the selected contractor is a Profit Organization or not. It can be derived from the SAM data element, 'Business Types'.",For Profit Organization,13EA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Foundation,,https://www.sam.gov,118,154,,,https://www.sam.gov,Foundation,13TJ,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Hispanic Servicing Institution,,https://www.sam.gov,119,153,,,https://www.sam.gov,Hispanic Servicing Institution,13TI,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Housing Authorities Public/Tribal,,https://www.sam.gov,120,168,,,https://www.sam.gov,Housing Authorities Public/Tribal,13XE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Indian Tribe Federally Recognized,,https://www.sam.gov,121,178,,,https://www.sam.gov,Indian Tribe (Federally Recognized),13YB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Inter-Municipal Local Government,,https://www.sam.gov,122,107,,,https://www.sam.gov,Inter-Municipal Local Government,13IC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,International Organization,,https://www.sam.gov,123,125,,,https://www.sam.gov,International Organization,13LI,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Interstate Entity,,https://www.sam.gov,124,169,,,https://www.sam.gov,Interstate Entity,13XF,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,SBA Certified 8 a Joint Venture,,https://www.sam.gov,125,129,,,https://www.sam.gov,SBA Certified 8(a) Joint Venture,13NA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Labor Surplus Area Firm,,https://www.sam.gov,126,119,,,https://www.sam.gov,Labor Surplus Area Firm,13LC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Limited Liability Corporation,,https://www.sam.gov,127,174,,,https://www.sam.gov,Limited Liability Corporation,13XK,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Local Government Owned,,https://www.sam.gov,128,108,,,https://www.sam.gov,Local Government Owned,13ID,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Manufacturer of Goods,,https://www.sam.gov,129,150,,,https://www.sam.gov,Manufacturer of Goods,13TE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Municipality Local Government,,https://www.sam.gov,130,109,,,https://www.sam.gov,Municipality Local Government,13IE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Native Hawaiian Owned Business,,https://www.sam.gov,131,179,,,https://www.sam.gov,Native Hawaiian Owned Business,13YC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,U.S. Government Entity,,https://www.sam.gov,132,126,,,https://www.sam.gov,U.S. Government Entity,13LJ,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Other Minority Owned Business,,https://www.sam.gov,133,186,,,https://www.sam.gov,Other Minority Owned Business,13DE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Other Not For Profit Organization,,https://www.sam.gov,134,189,,,https://www.sam.gov,Other Not For Profit Organization,13EF,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Partnership or Limited Liability Partnership,,https://www.sam.gov,135,122,,,https://www.sam.gov,Partnership or Limited Liability Partnership,13LF,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Planning Commission,,https://www.sam.gov,136,170,,,https://www.sam.gov,Planning Commission,13XG,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Port Authority,,https://www.sam.gov,137,171,,,https://www.sam.gov,Port Authority,13XH,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Private University or College,,https://www.sam.gov,138,140,,,https://www.sam.gov,Private University or College,13SA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Small Disadvantaged Business,,"List characteristic of the contractor such as whether the selected contractor is a Small Disadvantaged Business Organization or not. It can be derived from the SAM data element, 'Business Types'.",139,133,,,"List characteristic of the contractor such as whether the selected contractor is a Small Disadvantaged Business Organization or not. It can be derived from the SAM data element, 'Business Types'.",Small Disadvantaged Business,13P,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,School District Local Government,,https://www.sam.gov,140,110,,,https://www.sam.gov,School District Local Government,13IF,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,School of Forestry,,https://www.sam.gov,141,141,,,https://www.sam.gov,School of Forestry,13SB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Small Agricultural Cooperative,,https://www.sam.gov,143,124,,,https://www.sam.gov,Small Agricultural Cooperative,13LH,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Sole Proprietorship,,https://www.sam.gov,144,123,,,https://www.sam.gov,Sole Proprietorship,13LG,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,State Controlled Institution of Higher Learning,,https://www.sam.gov,145,142,,,https://www.sam.gov,State Controlled Institution of Higher Learning,13SC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Subchapter S Corporation,,https://www.sam.gov,146,173,,,https://www.sam.gov,Subchapter S Corporation,13XJ,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Township Local Government,,https://www.sam.gov,147,111,,,https://www.sam.gov,Township Local Government,13IG,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Transit Authority,,https://www.sam.gov,148,172,,,https://www.sam.gov,Transit Authority,13XI,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Tribal College,,https://www.sam.gov,149,143,,,https://www.sam.gov,Tribal College,13SD,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Tribally Owned Business,,https://www.sam.gov,150,180,,,https://www.sam.gov,Tribally Owned Business,13YD,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Veterinary College,,https://www.sam.gov,151,144,,,https://www.sam.gov,Veterinary College,13SE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Veterinary Hospital,,https://www.sam.gov,152,152,,,https://www.sam.gov,Veterinary Hospital,13TH,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Undefinitized Action,,Designates whether the contact action is an Undefinitized Action.,153,192,,,Designates whether the contact action is an Undefinitized Action.,Undefinitized Action,6B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Local Area Set Aside,,"When awarding emergency response contracts during the term of a major disaster or emergency declaration by the President of the United States under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act (42 U.S.C. 5121, et seq.), preference shall be given, to the extent feasible and practicable, to local firms. Preference may be given through a local area set-aside or an evaluation preference. Note: When the value for the data element 'Multiple or Single Award IDV' is 'Single' on the Referenced IDV, the value for 'Local
Area Set Aside' is propagated from the BPA. When the value is 'Multiple' user input is required.",154,76,,,"When awarding emergency response contracts during the term of a major disaster or emergency declaration by the President of the United States under the authority of the Robert T. Stafford Disaster Relief and Emergency Assistance Act (42 U.S.C. 5121, et seq.), preference shall be given, to the extent feasible and practicable, to local firms. Preference may be given through a local area set-aside or an evaluation preference. Note: When the value for the data element 'Multiple or Single Award IDV' is 'Single' on the Referenced IDV, the value for 'Local
Area Set Aside' is propagated from the BPA. When the value is 'Multiple' user input is required.",Local Area Set Aside,10U,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,U.S. Local Government,,"List characteristic of the contractor such as whether the selected contractor is a Local Government Organization or not. It can be derived from the SAM data element, 'Business Types'. ",155,190,,,"List characteristic of the contractor such as whether the selected contractor is a Local Government Organization or not. It can be derived from the SAM data element, 'Business Types'. ",U.S. Local Government,13I,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Major program,,"The agency determined code for a major program within the agency. For an Indefinite Delivery Vehicle, this may be the name of a GWAC (e.g., ITOPS or COMMITS).",156,77,,,"The agency determined code for a major program within the agency. For an Indefinite Delivery Vehicle, this may be the name of a GWAC (e.g., ITOPS or COMMITS).",Major program,6G,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Purchase Card as Payment Method,,Indicates whether the method of payment is the Purchase Card. Agencies may issue formal contract documents and make payment using the Purchase Card. It is also permitted that agencies may report Purchase Card purchases.,157,78,,,Indicates whether the method of payment is the Purchase Card. Agencies may issue formal contract documents and make payment using the Purchase Card. It is also permitted that agencies may report Purchase Card purchases.,Purchase Card as Payment Method,6N,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Minority Institution,,"List characteristic of the contractor such as whether the selected contractor is a Minority Institution or not. It can be derived from the SAM data element, 'Business Types'.",158,139,,,"List characteristic of the contractor such as whether the selected contractor is a Minority Institution or not. It can be derived from the SAM data element, 'Business Types'.",Minority Institution,13S,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Minority Owned Business,,https://www.sam.gov,159,156,,,https://www.sam.gov,Minority Owned Business,13UA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Multiple or Single Award IDV,,"Indicates whether the contract is one of many that resulted from a single solicitation, all of the contracts are for the same or similar items, and contracting officers are 'True to compare their requirements with the offerings under more than one contract or are 'True to acquire the requirement competitively among the awardees. BPA 'Multiple or Single Award IDV' value does not pull the 'Multiple or Single Award IDV' value of the referenced FSS to the BPA. The 'Multiple or Single Award IDV' value shall be 'True and selected by the user for all BPA bases created.",160,53,,,"Indicates whether the contract is one of many that resulted from a single solicitation, all of the contracts are for the same or similar items, and contracting officers are 'True to compare their requirements with the offerings under more than one contract or are 'True to acquire the requirement competitively among the awardees. BPA 'Multiple or Single Award IDV' value does not pull the 'Multiple or Single Award IDV' value of the referenced FSS to the BPA. The 'Multiple or Single Award IDV' value shall be 'True and selected by the user for all BPA bases created.",Multiple or Single Award IDV,6E,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Multi Year Contract,,"A multi-year contract means a contract for the purchase of supplies or services for more than 1, but not more than 5, program years. Such contracts are issued under specific congressional authority for specific programs. A multi-year contract may provide that performance under the contract during the second and subsequent years of the contract is contingent upon the appropriation of funds,
and (if it does so provide) may provide for a cancellation payment to be made to the contractor if appropriations are not made. The key distinguishing difference between multi-year contracts and multiple year contracts is that multi-year contracts buy more than 1 year of requirement (of a product or service) without establishing and having to exercise an option for each program year after the first.",161,79,,,"A multi-year contract means a contract for the purchase of supplies or services for more than 1, but not more than 5, program years. Such contracts are issued under specific congressional authority for specific programs. A multi-year contract may provide that performance under the contract during the second and subsequent years of the contract is contingent upon the appropriation of funds, and (if it does so provide) may provide for a cancellation payment to be made to the contractor if appropriations are not made. The key distinguishing difference between multi-year contracts and multiple year contracts is that multi-year contracts buy more than 1 year of requirement (of a product or service) without establishing and having to exercise an option for each program year after the first.",Multi Year Contract,6C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Native American Owned Business,,"List characteristic of the contractor such as whether the selected contractor is a Native American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",162,184,,,"List characteristic of the contractor such as whether the selected contractor is a Native American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Native American Owned Business,13CC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,National Interest Action,,A code that represents the national interest for which the contract is created.,163,80,,,A code that represents the national interest for which the contract is created.,National Interest Action,6R,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Nonprofit Organization,,"List characteristic of the contractor such as whether the selected contractor is a
Nonprofit Organization or not. It can be derived from the SAM data element,
'Business Types'.",164,188,,,"List characteristic of the contractor such as whether the selected contractor is a
Nonprofit Organization or not. It can be derived from the SAM data element,
'Business Types'.",Nonprofit Organization,13EE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Number of Actions,,The number input by the agency that identifies number of actions that are reported in one modification.,165,81,,,The number input by the agency that identifies number of actions that are reported in one modification.,Number of Actions,6Q,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Number of Offers Received,,The number of actual offers/bids received in response to the solicitation.,168,82,,,The number of actual offers/bids received in response to the solicitation.,Number of Offers Received,10D,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Other Statutory Authority,,Indicates whether the transaction is subject to other statutory authority. If 'Interagency Contracting Authority' is 'Other Statutory Authority' then an entry is required in this data element.,169,83,,,Indicates whether the transaction is subject to other statutory authority. If 'Interagency Contracting Authority' is 'Other Statutory Authority' then an entry is required in this data element.,Other Statutory Authority,7F,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Performance-Based Service Acquisition,,"Indicates whether the contract action is a PBA of services as defined by FAR 37.601. A PBSA: a. Describes the requirements in terms of results required rather than the methods of performance of the work b. Uses measurable performance standards (i.e. terms of quality, timelines, quantity etc.) and quality assurance surveillance plans (refer to 46.103(a) and 46.401(a)) c. Specifies procedures for reductions of fee or for reductions to the price of a fixed-price contract when services are not performed or do not meet contract requirements (refer to 46.407) d. Includes performance incentives where applicable. For FPDS reporting purposes, a minimum of 80% of the anticipated obligations under the procurements action must meet the above requirements for FY 2004 and prior and a minimum of 50% of the anticipated obligations under the procurements action must meet the above requirements for FY 2005 and later.",170,84,,,"Indicates whether the contract action is a PBA of services as defined by FAR 37.601. A PBSA: a. Describes the requirements in terms of results required rather than the methods of performance of the work b. Uses measurable performance standards (i.e. terms of quality, timelines, quantity etc.) and quality assurance surveillance plans (refer to 46.103(a) and 46.401(a)) c. Specifies procedures for reductions of fee or for reductions to the price of a fixed-price contract when services are not performed or do not meet contract requirements (refer to 46.407) d. Includes performance incentives where applicable. For FPDS reporting purposes, a minimum of 80% of the anticipated obligations under the procurements action must meet the above requirements for FY 2004 and prior and a minimum of 50% of the anticipated obligations under the procurements action must meet the above requirements for FY 2005 and later.",Performance-Based Service Acquisition,6F,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Vendor Phone Number,,The phone number of the contractor.,171,51,,,The phone number of the contractor.,Vendor Phone Number,13RR,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Place of Manufacture,,Represents whether the end products procured by the contract are manufactured inside or outside the U.S. in accordance with the Buy American Act (see FAR 25.1) and any exceptions or reasons for waivers employed.,172,85,,,Represents whether the end products procured by the contract are manufactured inside or outside the U.S. in accordance with the Buy American Act (see FAR 25.1) and any exceptions or reasons for waivers employed.,Place of Manufacture,9H,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Price Evaluation Adjustment Preference Percent Difference,,The designator for type of preference determined for the contract action.,173,86,,,The designator for type of preference determined for the contract action.,Price Evaluation Adjustment/Preference Percent Difference,11C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Product or Service Code,,The code that best identifies the product or service procured. Codes are defined in the Product and Service Codes Manual.,174,87,,,The code that best identifies the product or service procured. Codes are defined in the Product and Service Codes Manual.,Product or Service Code,8A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Program Acronym,,"The short name or title used for a GWAC or other contracting program. Examples include COMMITS, ITOPS, SEWP.",175,88,,,"The short name or title used for a GWAC or other contracting program. Examples include COMMITS, ITOPS, SEWP.",Program Acronym,6P,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Other than Full and Open Competition,,The designator for solicitation procedures other than full and open competition pursuant to FAR 6.3.,177,89,,,The designator for solicitation procedures other than full and open competition pursuant to FAR 6.3.,Other than Full and Open Competition,10C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Contracts,,https://www.sam.gov,179,163,,,https://www.sam.gov,Contracts,13X,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Receives Contracts and Grants,,https://www.sam.gov,180,165,,,https://www.sam.gov,Receives Contracts and Grants,13XB,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Grants,,https://www.sam.gov,181,164,,,https://www.sam.gov,Grants,13XA,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Recovered Materials/Sustainability,,Designates whether Recovered Material Certification and/or Estimate of Percentage of Recovered Material Content for EPA-Designated Products clauses were included in the contract.,182,90,,,Designates whether Recovered Material Certification and/or Estimate of Percentage of Recovered Material Content for EPA-Designated Products clauses were included in the contract.,Recovered Materials/Sustainability,8L,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Research,,The designator for type of research determined for the contract action.,183,91,,,The designator for type of research determined for the contract action.,Research,10Q,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Subcontinent Asian Asian - Indian American Owned Business,,"List characteristic of the contractor such as whether the selected contractor is a Subcontinent Asian (Asian- Indian) American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",184,185,,,"List characteristic of the contractor such as whether the selected contractor is a Subcontinent Asian (Asian- Indian) American Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Subcontinent Asian (Asian - Indian) American Owned Business,13DD,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Self-Certified Small Disadvantaged Business,,https://www.sam.gov,185,131,,,https://www.sam.gov,Self-Certified Small Disadvantaged Business,13NC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Sea Transportation,,A code designating whether the contractor anticipates some of the supplies may be transported by sea.,186,92,,,A code designating whether the contractor anticipates some of the supplies may be transported by sea.,Sea Transportation,8M,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Service Contract Act,,Indicates whether the transaction is subject to the Service Contract Act.,187,93,,,Indicates whether the transaction is subject to the Service Contract Act.,Service Contract Act,7C,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,The AbilityOne Program,,"List characteristic of the contractor such as whether the selected contractor is a Historically Black College or University or not. It can be derived from the SAM data element, 'Business Types'.",188,134,,,"List characteristic of the contractor such as whether the selected contractor is a Historically Black College or University or not. It can be derived from the SAM data element, 'Business Types'.",The AbilityOne Program,13Q,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Small Business Competitiveness Demonstration Program,,"Indicates whether the contract was awarded to a U.S. business concern as a result of a solicitation issued on or after Jan 1, 1989 for the four designated industry groups or the ten targeted industry categories as part of the Small Business Competitiveness Program as defined by FAR Part 19.10.",189,94,,,"Indicates whether the contract was awarded to a U.S. business concern as a result of a solicitation issued on or after Jan 1, 1989 for the four designated industry groups or the ten targeted industry categories as part of the Small Business Competitiveness Program as defined by FAR Part 19.10.",Small Business Competitiveness Demonstration Program,10K,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Solicitation Identifier,,Identifier used to link transactions in FPDS-NG to solicitation information.,190,95,,,Identifier used to link transactions in FPDS-NG to solicitation information.,Solicitation Identifier,1E,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Solicitation Procedures,,The designator for competitive solicitation procedures available.,191,96,,,The designator for competitive solicitation procedures available.,Solicitation Procedures,10M,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Service Disabled Veteran Owned Business,,"List characteristic of the contractor such as whether the selected contractor is a Veteran Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",192,162,,,"List characteristic of the contractor such as whether the selected contractor is a Veteran Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Service Disabled Veteran Owned Business,13W,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,U.S. State Government,,"List characteristic of the contractor such as whether the selected contractor is a State Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",193,112,,,"List characteristic of the contractor such as whether the selected contractor is a State Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",U.S. State Government,13J,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
